Customer ID,Billing Start Date,Billing End Date,Previous Meter Reading,Current Meter Reading,Usage (kWh),Total Charge
1000,2023-01-01,2023-01-31,1454,1689,235,35.25
1000,2023-02-01,2023-03-03,1689,1849,160,24.0
1000,2023-03-01,2023-03-31,1849,2192,343,51.45
1000,2023-04-01,2023-05-01,2192,2459,267,40.05
1000,2023-05-01,2023-05-31,2459,2901,442,66.3
1000,2023-06-01,2023-07-01,2901,3122,221,33.15
1000,2023-07-01,2023-07-31,3122,3313,191,28.65
1000,2023-08-01,2023-08-31,3313,3450,137,20.55
1000,2023-09-01,2023-10-01,3450,3703,253,37.95
1000,2023-10-01,2023-10-31,3703,3824,121,18.15
1000,2023-11-01,2023-12-01,3824,4123,299,44.85
1000,2023-12-01,2023-12-31,4123,4556,433,64.95
1001,2023-01-01,2023-01-31,3556,3969,413,61.95
1001,2023-02-01,2023-03-03,3969,4087,118,17.7
1001,2023-03-01,2023-03-31,4087,4270,183,27.45
1001,2023-04-01,2023-05-01,4270,4574,304,45.6
1001,2023-05-01,2023-05-31,4574,4793,219,32.85
1001,2023-06-01,2023-07-01,4793,5012,219,32.85
1001,2023-07-01,2023-07-31,5012,5355,343,51.45
1001,2023-08-01,2023-08-31,5355,5646,291,43.65
1001,2023-09-01,2023-10-01,5646,6060,414,62.1
1001,2023-10-01,2023-10-31,6060,6267,207,31.05
1001,2023-11-01,2023-12-01,6267,6761,494,74.1
1001,2023-12-01,2023-12-31,6761,7198,437,65.55
1002,2023-01-01,2023-01-31,4853,5073,220,33.0
1002,2023-02-01,2023-03-03,5073,5358,285,42.75
1002,2023-03-01,2023-03-31,5358,5590,232,34.8
1002,2023-04-01,2023-05-01,5590,5715,125,18.75
1002,2023-05-01,2023-05-31,5715,6199,484,72.6
1002,2023-06-01,2023-07-01,6199,6519,320,48.0
1002,2023-07-01,2023-07-31,6519,6934,415,62.25
1002,2023-08-01,2023-08-31,6934,7297,363,54.45
1002,2023-09-01,2023-10-01,7297,7603,306,45.9
1002,2023-10-01,2023-10-31,7603,7696,93,13.95
1002,2023-11-01,2023-12-01,7696,8123,427,64.05
1002,2023-12-01,2023-12-31,8123,8533,410,61.5
1003,2023-01-01,2023-01-31,1277,1333,56,8.4
1003,2023-02-01,2023-03-03,1333,1640,307,46.05
